지역,총판코드,지역,총판명,총판명(공식),목표과목1 부수,목표과목 1매출액,목표과목2 부수,목표과목2 매출액,전체목표 부수,전체목표 매출액
강원특별자치도,3001,원주,미래교육,원주)미래교육,"1,300 ","19,500,000 ","1,800 ","27,000,000 ",359 ,"5,999,000 "
경상남도,7205,양산,제일도서,양산)제일도서,"1,200 ","18,000,000 ","1,700 ","25,500,000 ",696 ,"11,678,500 "
서울특별시,1010,마포,중부사,마포)중부사,"1,200 ","18,000,000 ","1,700 ","25,500,000 ","1,140 ","17,688,800 "
강원특별자치도,3003,강릉,동아도서,강릉)동아도서,"1,000 ","15,000,000 ","1,500 ","22,500,000 ",161 ,"2,651,000 "
경기도,2115,이천,대동교육,이천)대동교육,"1,000 ","15,000,000 ","1,500 ","22,500,000 ",906 ,"14,437,800 "
경상북도,7403,경산,경일서적,경산)경일서적,"1,000 ","15,000,000 ","1,500 ","22,500,000 ",567 ,"9,724,500 "
경기도,2113,광명,플러스원서적,광명)플러스원서적,900 ,"13,500,000 ","1,300 ","19,500,000 ","2,698 ","43,738,400 "
전북특별자치도,5203,군산,군산서적,군산)군산서적,900 ,"13,500,000 ","1,200 ","18,000,000 ",449 ,"7,215,800 "
전북특별자치도,5202,익산,하늘문고,익산)하늘문고,900 ,"13,500,000 ","1,200 ","18,000,000 ",871 ,"13,463,400 "
전라남도,5103,여수,천재도서,여수)천재도서,800 ,"12,000,000 ","1,100 ","16,500,000 ",422 ,"6,435,000 "
충청남도,4102,서산,중앙서적,서산)중앙서적,700 ,"10,500,000 ","1,000 ","15,000,000 ",798 ,"12,653,600 "
충청북도,4204,증평,동아서림,증평)동아서림,700 ,"10,500,000 ","1,000 ","15,000,000 ",212 ,"3,275,000 "
경상북도,7404,경주,경주도서,경주)경주도서,650 ,"9,750,000 ",950 ,"14,250,000 ",415 ,"7,354,000 "
경상북도,7405,안동,종로교재,안동)종로교재,650 ,"9,750,000 ",950 ,"14,250,000 ",730 ,"11,815,500 "
충청북도,4202,충주,북적북적,충주)북적북적,600 ,"9,000,000 ",850 ,"12,750,000 ",0 ,0 
충청남도,4103,당진,삼지사,당진)삼지사,600 ,"9,000,000 ",800 ,"12,000,000 ",727 ,"11,838,000 "
경상남도,7206,사천,새싹서점,사천)새싹서점,550 ,"8,250,000 ",800 ,"12,000,000 ",523 ,"8,637,000 "
제주특별자치도,6002,서귀포,명문서적,서귀포)명문서적,550 ,"8,250,000 ",750 ,"11,250,000 ",368 ,"5,770,800 "
충청남도,4104,홍성,중앙서점,홍성)중앙서점,500 ,"7,500,000 ",750 ,"11,250,000 ",126 ,"2,041,500 "
충청남도,4105,논산,이화서점,논산)이화서점,500 ,"7,500,000 ",750 ,"11,250,000 ",746 ,"11,993,000 "
경기도,2116,양평,학원서림,양평)학원서림,500 ,"7,500,000 ",700 ,"10,500,000 ",107 ,"1,634,000 "
전북특별자치도,5204,정읍,보람서점,정읍)보람서점,450 ,"6,750,000 ",650 ,"9,750,000 ",448 ,"7,428,600 "
충청북도,4203,제천,이문서점,제천)이문서점,400 ,"6,000,000 ",600 ,"9,000,000 ",38 ,"722,000 "
전라남도,5105,해남,해남서점,해남)해남서점,400 ,"6,000,000 ",600 ,"9,000,000 ",347 ,"5,421,400 "
경상북도,7406,영주,샘터서점,영주)샘터서점,400 ,"6,000,000 ",550 ,"8,250,000 ",388 ,"6,984,000 "
경상북도,7407,상주,한양도서,상주)한양도서,400 ,"6,000,000 ",550 ,"8,250,000 ",92 ,"1,449,000 "
경상북도,7409,칠곡,세종서점,칠곡)세종서점,350 ,"5,250,000 ",550 ,"8,250,000 ",597 ,"9,718,500 "
경상북도,7408,김천,춘양당,김천)춘양당,350 ,"5,250,000 ",550 ,"8,250,000 ",60 ,"980,000 "
강원특별자치도,3005,영월,중앙서점,영월)중앙서점,375 ,"5,625,000 ",525 ,"7,875,000 ",248 ,"3,832,900 "
강원특별자치도,3004,속초,문우당,속초)문우당,375 ,"5,625,000 ",525 ,"7,875,000 ",172 ,"3,050,000 "
전라남도,5104,나주,종합서점,나주)종합서점,375 ,"5,625,000 ",525 ,"7,875,000 ",74 ,"1,332,000 "
전북특별자치도,5205,김제,삼화서점,김제)삼화서점,325 ,"4,875,000 ",425 ,"6,375,000 ",55 ,"945,000 "
충청남도,4106,공주,열린문고,공주)열린문고,300 ,"4,500,000 ",425 ,"6,375,000 ",344 ,"5,998,000 "
충청남도,4107,보령,한내서적,보령)한내서적,250 ,"3,750,000 ",375 ,"5,625,000 ",0 ,0 
전북특별자치도,5206,남원,성지서림,남원)성지서림,200 ,"3,000,000 ",300 ,"4,500,000 ",250 ,"4,011,000 "
충청남도,4108,부여,문광사,부여)문광사,100 ,"1,500,000 ",200 ,"3,000,000 ",180 ,"2,742,700 "
경상북도,7410,울진,종로서적,울진)종로서적,100 ,"1,500,000 ",150 ,"2,250,000 ",131 ,"2,045,000 "
전라남도,5106,보성,대교서점,보성)대교서점,100 ,"1,500,000 ",100 ,"1,500,000 ",238 ,"3,689,000 "
